regulador	V2	regulado	especie	V5	FT
Solyc06g060490	regulates	Solyc06g075800	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc06g076350	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc06g076750	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc06g076850	Solanum lycopersicum	FunTFBS, motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc06g082430	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc06g083070	Solanum lycopersicum	FunTFBS, motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc06g083210	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc07g006910	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc07g007650	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc07g007780	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc07g014660	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc07g015960	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc07g026830	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc07g027010	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc07g032540	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc07g037970	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc07g041740	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc07g044780	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc07g044830	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc07g045340	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc07g052990	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc07g053270	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc07g053940	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc07g054200	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc07g054580	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc07g055010	Solanum lycopersicum	FunTFBS, motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc07g055840	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc07g063380	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc07g064280	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc07g064990	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc07g065040	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc07g065670	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc08g006370	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc08g006810	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc08g007440	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc08g008350	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc08g008670	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc08g014570	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc08g016480	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc08g016600	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc08g021990	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc08g022220	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc08g023420	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc08g023480	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc08g036480	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc08g036600	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc08g036640	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc08g044360	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc08g045690	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc08g066090	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc08g066130	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc08g067010	Solanum lycopersicum	motif	bZIP
