regulador	V2	regulado	especie	V5	FT
Sopen02g037700	regulates	Sopen01g015860	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g016880	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g017710	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g017900	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g018620	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g019090	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g019180	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g019190	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g019900	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g020100	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g020230	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g020730	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g020830	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g021120	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g021540	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g022000	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g022010	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g022020	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g022600	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g022860	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g025260	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g026430	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g026850	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g027000	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g028140	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g028990	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g029930	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g029980	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g030170	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g030420	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g030540	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g030830	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g030880	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g031500	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g032140	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g033760	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g034270	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g034700	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g035140	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g035150	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g035480	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g035830	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g036030	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g036380	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g036880	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g036970	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g037230	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g037590	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g039130	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g039440	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g039470	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g039690	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g039970	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g040060	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g040540	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g042040	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g042690	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g044330	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g044770	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g046320	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g047030	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g047130	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g047250	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g048630	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g049430	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g049650	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g049820	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g050020	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g050060	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g050320	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g050910	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g050920	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g051580	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g051700	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g051850	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g052190	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g052500	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g052650	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g053270	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g053440	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g053610	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g053680	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g054350	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen02g001020	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen02g002370	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen02g002390	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen02g002850	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen02g002980	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen02g003010	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen02g003620	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen02g003870	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen02g004030	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen02g004050	Solanum pennellii	motif	none
